1AAF;1;UFF;T
2AAF;1;BAR;1
3AAF;1;BAR;2
4AAF;1;BAR;2
5AAF;1;BAR;1
1BAF;1;BAR;2
2BAF;1;BAR;2
2CAF;1;BAR;1
4ACA;2;BAR;T
5ACA;2;BAR;T
1ALS;3;UFF;1
2ALS;3;UFF;1
3ALS;3;UFF;1
4ALS;3;UFF;1
5ALS;3;UFF;1
1BLS;3;BAR;T
2BLS;3;BAR;T
3BLS;3;BAR;T
4BLS;3;BAR;T
5BLS;3;BAR;T
1CLS;3;UFF;1
2CLS;3;UFF;2
3CLS;3;UFF;2
4CLS;3;UFF;2
5CLS;3;UFF;2
3DLS;3;UFF;2
4DLS;3;UFF;2
1BAG;4;UFF;T
2BAG;4;UFF;T
3BAG;4;UFF;T
4BAG;4;UFF;T
5BAG;4;UFF;T
1DAG;4;UFF;1
2DAG;4;UFF;T
3DAG;4;UFF;1
4EAG;4;BAR;T
5EAG;4;BAR;T
3BSI;5;UFF;1
4BSI;5;BAR;2
3CRI;6;BAR;1
4CRI;6;BAR;1
5CRI;6;BAR;1
5DRI;6;BAR;2
1ETU;7;BAR;1
2ETU;7;UFF;1
3ETU;7;BAR;2
4ETU;7;UFF;1
5ETU;7;BAR;2
1FTU;7;BAR;1
2FTU;7;BAR;1
3GTU;7;BAR;T
4GTU;7;BAR;1
5GTU;7;BAR;1
